,tune
10,"[('2', 'Gm7'), ('2', 'Am7'), ('2', 'Bm6'), ('2', 'Dbm7'), ('2', 'Gbm6'), ('2', 'Gm7'), ('2', 'Abdim7'), ('2', 'Gbm6/A'), ('2', 'Gm7'), ('2', 'Am7'), ('2', 'Bm6'), ('2', 'Dbm7'), ('1', 'Gbm6'), ('1', 'Ab13')]"
11,"[('2', 'Dbmaj7'), ('2', 'Db7'), ('2', 'Db6'), ('4', 'Dbaug'), ('4', 'Db'), ('1', 'Bb7'), ('1', 'Bb7'), ('1', 'Eb7'), ('1', 'Ab7'), ('1', 'Db6'), ('1', 'Db6')]"
12,"[('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Dm11'), ('1', 'G7')]"
13,"[('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Dm7'), ('1', 'G13'), ('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Gm7'), ('1', 'C7')]"
14,"[('1', 'Fmaj7'), ('1', 'F6'), ('1', 'Fdim7'), ('1', 'Fdim7'), ('1', 'Am11'), ('1', 'Am11'), ('1', 'Adim7'), ('1', 'Adim7')]"
15,"[('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G9'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]"
16,"[('1', 'Cmaj7'), ('1', 'A7'), ('1', 'Ebm7'), ('1', 'Ebm7'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Bm7'), ('1', 'Cmaj7'), ('1', 'A7'), ('1', 'Ebm7'), ('1', 'Ebm7'), ('1', 'Dm7'), ('1', 'Abm7')]"
17,"[('1', 'Cmaj7'), ('1', 'A7'), ('1', 'Ebm7'), ('1', 'Ebm7'), ('1', 'Bm7b5'), ('1', 'E7b9'), ('1', 'Am'), ('1', 'E7b9'), ('1', 'Am'), ('1', 'E7b9'), ('1', 'Am'), ('1', 'Ebdim7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'Abm7')]"
18,"[('2', 'CmM7'), ('2', 'CmM7'), ('2', 'Bbm6'), ('2', 'Em7'), ('1', 'Abmaj7'), ('1', 'Dbmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7'), ('1', 'Abmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
19,"[('2', 'CmM7'), ('2', 'CmM7'), ('2', 'Bbm6'), ('2', 'Em7'), ('1', 'Abmaj7'), ('1', 'Dbmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
20,"[('1', 'Bm7b5'), ('1', 'E7b9'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Fmaj7'), ('2', 'Fmaj7/E'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7b9'), ('2', 'Fdim7/C'), ('2', 'Cmaj7'), ('2', 'Bm7'), ('2', 'E7b9')]"
21,"[('2', 'Am7'), ('2', 'E7b13'), ('2', 'Am7'), ('2', 'D7b9'), ('2', 'Gm7'), ('2', 'D7b13'), ('2', 'Gm7'), ('2', 'C7b9'), ('2', 'Am7b5'), ('2', 'D7b9'), ('2', 'Gm7b5'), ('2', 'C7b9'), ('2', 'Fmaj7'), ('2', 'Fmaj7/E'), ('2', 'Dm7'), ('2', 'Dm7/C')]"
22,"[('1', 'Bm7b5'), ('1', 'E7b9'), ('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Fmaj7'), ('2', 'Fmaj7/E'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7b9'), ('2', 'Fdim7/C'), ('2', 'Cmaj7'), ('1', 'C7/Bb')]"
23,"[('2', 'Am7'), ('2', 'Am7/G'), ('2', 'Gbm7b5'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'Am7/G'), ('1', 'Fmaj7'), ('2', 'Em7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'G13b9'), ('1', 'C6'), ('2', 'Gm7'), ('2', 'C7')]"
24,"[('2', 'Gbm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'B7'), ('1', 'Emaj7'), ('2', 'Em7'), ('2', 'Gbm7'), ('2', 'Bbmaj7'), ('2', 'Db7'), ('2', 'Gbmaj7'), ('2', 'A7'), ('1', 'Dmaj7'), ('2', 'Dm7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'Gbm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('1', 'B7')]"
25,[]
26,"[('2', 'Gbm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Em7'), ('2', 'Abmaj7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'Cmaj7'), ('2', 'Abmaj7'), ('2', 'Emaj7'), ('2', 'Cmaj7'), ('2', 'Abmaj7'), ('1', 'Emaj7')]"
27,"[('2', 'Cmaj7'), ('2', 'Abm7sus'), ('2', 'Cmaj7'), ('2', 'Abm7sus'), ('4', 'Dbm7'), ('4', 'Gbm7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7')]"
28,"[('2', 'Cmaj7'), ('2', 'Abm7sus'), ('2', 'Cmaj7'), ('2', 'Abm7sus'), ('4', 'Dbm7'), ('4', 'Gbm7'), ('4', 'Em7'), ('4', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7')]"
29,"[('2', 'Am7'), ('2', 'D7'), ('1', 'Gmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Fmaj7'), ('2', 'Bm7')]"
30,"[('2', 'Cmaj7'), ('2', 'Abm7sus'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Abm7')]"
31,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7#11'), ('1', 'D7#11'), ('1', 'Dm7'), ('1', 'Dm7#11')]"
32,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7#11'), ('1', 'D7#11'), ('1', 'Dm7'), ('1', 'Dm7#11')]"
33,"[('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Gb7'), ('1', 'Gb7'), ('1', 'Dbm7'), ('1', 'Dbm7'), ('1', 'A7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'Dm7'), ('1', 'Bm7'), ('1', 'Bm7'), ('1', 'Em7'), ('1', 'A7b9b5'), ('1', 'Dm7'), ('1', 'G7b9b5')]"
34,"[('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7#11'), ('1', 'D7#11'), ('1', 'Dm7'), ('1', 'Dm7#11'), ('1', 'Cmaj7'), ('1', 'Dm7')]"
35,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'A7b9')]"
36,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'Am/G'), ('1', 'Gbm7b5'), ('1', 'B7'), ('1', 'Gbm7'), ('1', 'E7')]"
37,"[('1', 'Bm7b5'), ('1', 'E7'), ('1', 'Am7'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'G7b9'), ('1', 'Bm7sus'), ('1', 'A7')]"
38,"[('1', 'Dm7'), ('1', 'Bm7sus'), ('1', 'E7b9'), ('1', 'A7'), ('1', 'Am7'), ('1', 'G7'), ('1', 'Cm7'), ('2', 'Dbm/D'), ('2', 'Dbm/Db')]"
39,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]"
40,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]"
41,"[('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dmaj7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]"
42,"[('2', 'Am7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Em7'), ('2', 'Edim7'), ('1', 'Dm7'), ('2', 'G7sus'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9')]"
43,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7')]"
44,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7')]"
45,"[('1', 'Em7'), ('2', 'Gbm7b5'), ('2', 'B7b9'), ('1', 'Em7'), ('2', 'A7'), ('2', 'Ab7#9'), ('2', 'Gmaj7'), ('2', 'Em7'), ('2', 'Am7b5'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'Abdim7'), ('2', 'Ab7b5'), ('4', 'Abm7'), ('4', 'Db7')]"
46,"[('1', 'Cmaj7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Bm7'), ('2', 'Fm7'), ('4', 'Bm7'), ('4', 'Bdim'), ('2', 'Cmaj7'), ('4', 'E7'), ('4', 'A7'), ('2', 'D7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Dm7')]"
47,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7')]"
48,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]"
49,[]
50,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]"
51,[]
52,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7')]"
53,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7')]"
54,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]"
55,[]
56,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]"
57,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7')]"
58,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Gm7'), ('2', 'Dbm7b9'), ('2', 'Dbm13'), ('1', 'Fmaj7'), ('1', 'Bb13'), ('2', 'Em'), ('2', 'Dbm/E'), ('2', 'Em6'), ('2', 'Em7'), ('2', 'EmM7'), ('2', 'Em7'), ('1', 'Bbm7#9#5'), ('1', 'Abm13sus'), ('1', 'Abm13b9')]"
59,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Gm7'), ('2', 'Dbm7b9'), ('2', 'Dbm13'), ('1', 'Fmaj7'), ('1', 'Bb13'), ('2', 'Em'), ('2', 'Dbm/E'), ('2', 'Em6'), ('2', 'Em7'), ('2', 'EmM7'), ('2', 'Em7'), ('1', 'Bbm7#9#5'), ('1', 'Abm13sus'), ('1', 'Abm13b9')]"
60,"[('1', 'Gbm11'), ('1', 'Gbm13#11'), ('1', 'Em11'), ('1', 'Bbm13b9'), ('1', 'Dm11'), ('1', 'Abm13b9'), ('2', 'E13'), ('2', 'E7#5'), ('2', 'Bbm9sus'), ('2', 'Bbm7#9#5')]"
61,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Em9'), ('1', 'Bbm7b13'), ('1', 'Dm9'), ('1', 'Abm13b9'), ('1', 'Dbm6'), ('1', 'Dbm6')]"
62,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
63,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
64,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('1', 'C7#9'), ('2', 'Fm'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'Bm'), ('2', 'Bbm7'), ('2', 'Eb7'), ('1', 'Am7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('1', 'G7#9')]"
65,"[('2', 'Cmaj7'), ('2', 'Gbm13'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7')]"
66,"[('2', 'Cmaj7'), ('2', 'Gbm13'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Fm7'), ('2', 'Dbm6'), ('4', 'Gbm7'), ('4', 'B7')]"
67,"[('2', 'Emaj7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Abm7'), ('2', 'Abdim7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'Emaj7'), ('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'B7'), ('2', 'E6'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7')]"
68,"[('2', 'Cmaj7'), ('2', 'Gbm13'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'Abm7')]"
69,"[('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'CmM7'), ('2', 'Cm7'), ('2', 'Cm6'), ('1', 'Fm7'), ('2', 'Abm6'), ('2', 'Bb7')]"
70,"[('2', 'Ebmaj7'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Bb7'), ('1', 'Ebmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Am7'), ('1', 'G7b9')]"
71,"[('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'CmM7'), ('2', 'Cm7'), ('2', 'Cm6'), ('1', 'Fm7'), ('2', 'Abm6'), ('2', 'Bb7')]"
72,"[('1', 'Bbm7'), ('2', 'Eb7sus'), ('2', 'Eb7'), ('1', 'Abmaj7'), ('2', 'Abm6'), ('2', 'Dm7'), ('2', 'Cm'), ('2', 'Cmb6'), ('2', 'Cm6'), ('2', 'Cm7'), ('2', 'Fm7'), ('4', 'Am7'), ('4', 'G7'), ('1', 'Cm')]"
73,"[('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11')]"
74,"[('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11')]"
75,"[('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11'), ('1', 'Dbm11')]"
76,"[('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11'), ('1', 'Cm11')]"
77,"[('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11')]"
78,"[('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11'), ('1', 'Gm11')]"
79,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Ebm7'), ('1', 'Am7'), ('1', 'Dm7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'G/C'), ('2', 'Dm7/G'), ('2', 'Edim/G'), ('2', 'Em7/G')]"
80,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'G7sus'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C7'), ('2', 'B7#5'), ('2', 'Em7'), ('2', 'A9'), ('1', 'D9'), ('2', 'Am7'), ('2', 'D7'), ('1', 'Dm7'), ('2', 'G7'), ('2', 'G7#5')]"
81,"[('1', 'C7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Em7b5'), ('1', 'A7#5'), ('1', 'D9'), ('2', 'Am7'), ('2', 'D9'), ('1', 'Dm7'), ('2', 'G7'), ('2', 'G7#5')]"
82,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Bb9'), ('4', 'A7'), ('4', 'A7/G'), ('2', 'Gbm7b5'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
83,"[('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Gbm6/A'), ('2', 'Fm6'), ('1', 'Dbm/G'), ('1', 'G7')]"
84,"[('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm'), ('4', 'Dm7'), ('4', 'Ebdim'), ('4', 'Dbm/E'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('4', 'Dbm/E'), ('4', 'Ebm7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'Dbm'), ('2', 'Dbm7'), ('2', 'Gbm6/A'), ('2', 'Fm6'), ('1', 'Dbm/G'), ('1', 'G7')]"
85,"[('1', 'Cmaj7'), ('1', 'E7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('1', 'G7'), ('2', 'Cmaj7/E'), ('2', 'Ebdim7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('1', 'E7'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Gbm6'), ('2', 'Dbm/G'), ('2', 'G7')]"
86,"[('2', 'Cm'), ('2', 'Cm'), ('2', 'Cm7/Bb'), ('2', 'Am7b5'), ('1', 'Abmaj7'), ('1', 'Abmaj7')]"
87,"[('2', 'Cm'), ('2', 'Cm'), ('2', 'Cm7/Bb'), ('2', 'Am7b5'), ('1', 'Abmaj7'), ('1', 'Abmaj7')]"
88,"[('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('1', 'Cmaj7'), ('2', 'Bm7'), ('2', 'Fm7'), ('1', 'Amaj7'), ('2', 'Bbm7'), ('2', 'Eb7'), ('2', 'Abmaj7'), ('2', 'G7b13')]"
89,"[('2', 'Cm'), ('2', 'Cm'), ('2', 'Cm7/Bb'), ('2', 'Am7b5'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Fm7'), ('1', 'Fm7/Eb'), ('1', 'Dm7'), ('1', 'G7b13'), ('1', 'Abmaj7'), ('2', 'Dm7b5'), ('2', 'G7'), ('1', 'Abmaj7'), ('1', 'Ab7#11'), ('1', 'Cm7/G'), ('2', 'Dm7b5'), ('2', 'G7b13'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
